Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-23 13:59:37.2757;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-23 13:59:37.2957;Hands;NULL;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1353;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;-0.0532;0.0001;-0.0172;355.8873;0.3485;0.7832;NULL;-0.0389;0.0000;2.0000;-0.0389;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;-3.8879;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;11.4836;2026-03-23 13:59:48.7793;Hands;1;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1695;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;-0.0542;-0.0001;-0.0182;355.8714;359.4594;0.8326;NULL;-0.0169;0.0000;2.0000;-0.0169;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;-1.6944;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8494;2026-03-23 13:59:51.6287;Hands;2;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2041;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;-0.0531;-0.0030;-0.0176;358.4167;357.9905;0.5976;NULL;-0.0035;0.0000;2.0000;-0.0035;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;-0.3504;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8827;2026-03-23 13:59:54.5114;Hands;3;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2397;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;-0.0535;-0.0021;-0.0196;356.9679;359.4319;0.7647;NULL;-0.0310;0.0000;2.0000;-0.0310;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;-3.0968;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.9659;2026-03-23 13:59:57.4773;Hands;4;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2733;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;-0.0501;-0.0021;-0.0210;356.5775;359.8806;0.1162;NULL;-0.0075;0.0000;2.0000;-0.0075;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;-0.7543;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.7995;2026-03-23 14:00:00.2768;Hands;5;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3074;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;-0.0490;-0.0013;-0.0206;355.8210;0.2115;359.7901;NULL;-0.0474;0.0000;2.0000;-0.0474;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;-4.7372;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8405;2026-03-23 14:00:03.1173;Hands;6;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3429;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;-0.0481;-0.0013;-0.0195;355.7786;0.3891;359.5581;NULL;0.0323;0.0000;2.0000;0.0323;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;3.2349;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.9576;2026-03-23 14:00:06.0749;Hands;7;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3775;833018d6-1fff-41fa-90fa-7c4f7dd80b53;NULL;-0.0458;-0.0003;-0.0246;354.7341;0.7155;359.1446;NULL;0.0199;0.0000;2.0000;0.0199;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;ccec8c2d-d0c4-4e05-983b-210a8346ad35;1.9878;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8831;2026-03-23 14:00:08.9580;Hands;8;30;OpenXR
